"Nom_bibliotheque","Nom_responsable","Population_residente","Population_contractuelle","Nb_abonnes_actifs","Nb_menages_servis","Nb_points_service","Nb_succursales","Heures_ouverture","Nb_imprimantes_3D","Nb_espaces_creation","Nb_locations_salles","Nb_bibliotheques_ephemeres","Superficie","Nb_postes_publics","Nb_postes_OPAC","Nb_postes_internet","Nb_appareils_pretes","Nb_liseuses","Population_desservie","Ratio_abonnes_population","Imprimantes_3D_1000","Espaces_creation_1000","Postes_internet_1000","Appareils_pretes_1000","Liseuses_1000","Z_Imprimantes_3D","Z_Espaces_creation","Z_Postes_internet","Z_Appareils_pretes","Z_Liseuses","Nb_composantes_indice","Indice_ressources_technologiques"
"Chatham-Kent","Tania Sharpe",102042,0,30597,48051,11,11,305,4,0,8,0,68557,88,15,73,0,0,102042,0.299847121773387,0.0391995452852747,0,0.715391701456263,0,0,-0.0354828587787158,-0.119350542858156,-0.295166690232385,-0.366416952836759,-0.23838527649273,5,-0.210960464239749
"Chippewas of Georgina Island FN","Karen Foster",208,0,190,NA,1,1,37.5,0,0,0,0,1324,4,1,4,0,0,208,0.913461538461538,0,0,19.2307692307692,0,0,-0.236785156647013,-0.119350542858156,1.35672696268041,-0.366416952836759,-0.23838527649273,5,0.07915780676915
"Chippewas of Kettle & Stony Point FN","Clint Couchie",1352,0,357,NA,1,1,20,0,1,0,0,1500,2,2,2,0,0,1352,0.26405325443787,0,0.739644970414201,1.4792899408284,0,0,-0.236785156647013,0.151517165795868,-0.227013683301128,-0.366416952836759,-0.23838527649273,5,-0.183416780696353
"Chippewas of Rama FN","Danielle Big Canoe Snake",725,0,238,NA,1,1,50,0,0,0,0,3270,19,3,19,4,0,725,0.328275862068966,0,0,26.2068965517241,5.51724137931034,0,-0.236785156647013,-0.119350542858156,1.97911883263568,0.629511343963654,-0.23838527649273,5,0.402821840120287
"Clarence-Rockland","Catherina Rouse",25326,0,10001,9771,2,2,70,0,0,13,0,10816,11,11,7,12,0,25326,0.39489062623391,0,0,0.276395798783858,0.473821369343757,0,-0.236785156647013,-0.119350542858156,-0.334332758768184,-0.280886508015591,-0.23838527649273,5,-0.241948048556335
"Clarington, Municipality of","Monika Machacek",92015,0,34580,34032,4,4,198,0,1,0,0,48704,63,53,49,6,0,92015,0.375808292126284,0,0.0108677932945715,0.532521871434005,0.0652067597674292,0,-0.236785156647013,-0.115370614128055,-0.311481859126174,-0.354646349970156,-0.23838527649273,5,-0.251333851272826
"Clearview Twp","Jennifer La Chapelle",14151,13859,2713,12083,5,3,462,0,0,0,0,11095,22,4,22,6,0,28010,0.0968582649053909,0,0,0.785433773652267,0.214209210996073,0,-0.236785156647013,-0.119350542858156,-0.288917719380223,-0.327749618928496,-0.23838527649273,5,-0.242237662861324
"Cobalt Twp","Kendra Lacarte",1128,516,117,1166,1,1,30,1,0,0,0,NA,6,0,6,0,0,1644,0.0711678832116788,0.608272506082725,0,3.64963503649635,0,0,2.88689018992793,-0.119350542858156,-0.0333811590661595,-0.366416952836759,-0.23838527649273,5,0.425871251734825
"Cobourg","Tammy Robinson",19440,10942,7948,13635,5,5,76,0,0,0,4,18369,18,4,18,4,0,30382,0.261602264498716,0,0,0.59245605950892,0.131656902113093,0,-0.236785156647013,-0.119350542858156,-0.306134687310925,-0.342651301622873,-0.23838527649273,5,-0.248661392986339
"Cochrane Public Library Board","Christina Blazecka",4371,0,1849,2666,1,1,39,1,0,0,0,4000,10,10,10,2,4,4371,0.42301532830016,0.22878059940517,0,2.2878059940517,0.457561198810341,0.915122397620682,0.938076950369506,-0.119350542858156,-0.154879991482897,-0.283821663980628,0.0103714156199527,5,0.0780792335335556
"Collingwood","Ashley Kulchycki",23815,0,7638,11522,1,1,64,0,1,0,0,20000,26,8,19,19,4,23815,0.320722233886206,0,0.0419903422212891,0.797816502204493,0.797816502204493,0.167961368885156,-0.236785156647013,-0.103973127695433,-0.287812964661138,-0.222401497363048,-0.192728526493799,5,-0.208740254572086
"Cornwall","Helen McCutcheon",45723,0,8430,22007,1,1,39,1,2,0,0,23300,19,8,11,2,0,45723,0.184371104258251,0.0218708308728649,0.0437416617457297,0.240579139601513,0.0437416617457297,0,-0.124471391807235,-0.103331771469566,-0.337528227609053,-0.358521057825711,-0.23838527649273,5,-0.232447545040859
"Cramahe Twp","Mary Norton Stack",6355,0,2123,2570,3,2,63,0,1,0,0,NA,12,1,12,6,2,6355,0.334067663257278,0,0.1573564122738,1.8882769472856,0.944138473642801,0.3147128245476,-0.236785156647013,-0.0617245566897466,-0.190524930154137,-0.195988625099474,-0.152837243351539,5,-0.167572102388382
"Curve Lake FN","Louise Musgrave",791,0,250,NA,1,1,39.5,0,0,0,0,NA,2,0,2,2,0,791,0.316055625790139,0,0,2.52844500632111,2.52844500632111,0,-0.236785156647013,-0.119350542858156,-0.133410806942548,0.0899977217399156,-0.23838527649273,5,-0.127586812240106
"Deep River","Naomi Balla-Boudreau",4109,0,1477,1999,1,1,39,0,0,179,4,11000,7,1,6,1,0,4109,0.359454855195911,0,0,1.46020929666586,0.243368216110976,0,-0.236785156647013,-0.119350542858156,-0.228716008567556,-0.322486068486534,-0.23838527649273,5,-0.229144610610398
"Delaware FN","Derekica Snake",238,0,375,NA,1,1,15,0,0,0,0,400,2,0,2,0,0,238,1.57563025210084,0,0,8.40336134453782,0,0,-0.236785156647013,-0.119350542858156,0.390733893597832,-0.366416952836759,-0.23838527649273,5,-0.114040807047365
"Deseronto","Amy McDonald",1645,0,462,716,1,1,39,0,0,0,0,4144,15,0,15,0,5,1645,0.280851063829787,0,0,9.11854103343465,0,3.03951367781155,-0.236785156647013,-0.119350542858156,0.454540358624563,-0.366416952836759,0.587842308024395,5,0.063966002861406
"Dokis FN","Jason Restoule",203,0,35,NA,1,1,35,0,1,0,0,NA,6,0,6,4,2,203,0.172413793103448,0,4.92610837438424,29.5566502463054,19.7044334975369,9.85221674876847,-0.236785156647013,1.6846550832514,2.2779751134833,3.19046982145043,2.43973172159726,5,1.87120931662707
"Dorion Twp","Simone Marchand",316,389,111,174,1,1,8.5,0,0,0,0,NA,4,4,4,2,0,705,0.157446808510638,0,0,5.67375886524823,2.83687943262411,0,-0.236785156647013,-0.119350542858156,0.147205885412476,0.145673838071255,-0.23838527649273,5,-0.0603282505028337
"Douro-Dummer Twp","Anne Landry",5869,0,388,3619,1,1,26,0,0,0,0,1485,4,4,4,0,0,5869,0.066110069858579,0,0,0.681547111944113,0,0,-0.236785156647013,-0.119350542858156,-0.298186216164926,-0.366416952836759,-0.23838527649273,5,-0.251824828999917
"Dryden","Caroline Goulding",7749,0,1757,3541,1,1,54,0,1,0,0,6100,3,3,3,0,0,7749,0.226738934056007,0,0.129048909536714,0.387146728610143,0,0,-0.236785156647013,-0.0720911362121059,-0.324451849899618,-0.366416952836759,-0.23838527649273,5,-0.247626074417645
"Dubreuilville Twp","Brigitte Tremblay",613,0,365,310,1,1,32.5,0,0,0,0,NA,4,4,4,1,5,613,0.595432300163132,0,0,6.5252854812398,1.63132137030995,8.15660685154976,-0.236785156647013,-0.119350542858156,0.223176867371437,-0.0719438634483825,1.97881599027835,5,0.354782658939247
"Ear Falls Twp","Susan Carey",995,0,166,559,1,1,30,0,1,0,0,2475,8,7,7,10,0,995,0.166834170854271,0,1.00502512562814,7.03517587939699,10.0502512562814,0,-0.236785156647013,0.248702866287814,0.268667957740162,1.44777404007857,-0.23838527649273,5,0.29799488619336
"East Ferris","Jennifer Laporte",4862,0,845,2157,1,1,36,0,0,3,0,2496,NA,4,3,4,4,4862,0.17379679144385,0,0,0.617030028794735,0.822706705059646,0.822706705059646,-0.236785156647013,-0.119350542858156,-0.303942261916096,-0.217908516970799,-0.014749838149551,5,-0.178547263308323
