"Nom_bibliotheque","PC1","PC2"
"North Kawartha Twp",-0.528845492795446,2.70793482076874
"North Perth",0.658740480405017,-0.43696667373473
"Northeastern Manitoulin and the Islands",-1.15681876877036,0.268537850945555
"Oakville",3.29832257231808,-0.0243875752230428
"Oliver Paipoonge",-0.257137039355875,-1.71111444126916
"Orangeville",0.777255365857436,-0.580230333617962
"Orillia",0.739051977513772,0.258500939033539
"Oshawa",2.59972825157177,-0.0579873961881685
"Otonabee-South Monaghan Twp",-0.0036139399671455,-1.32735601067459
"Ottawa",5.76303850851324,0.416955649996274
"Owen Sound & North Grey Union",0.329338207104592,-0.314260074250755
"Oxford County",3.12578013037533,0.175671864276427
"Pelham",0.921873983272875,0.403366748828601
"Pembroke",-0.266249323022654,-0.794091611596196
"Penetanguishene",0.489946710989148,-0.256843079265162
"Perry Twp",-1.25868667248317,-1.49402243465756
"Perth and District Union",-0.108152151357836,-0.157050314046079
"Perth East",-0.479829135109149,-1.75252715042501
"Petawawa",-0.760514806039103,-1.06063946101072
"Peterborough",1.81888826148207,-0.0396092976296653
"Phelps",-2.6288819871464,-1.40527528025216
"Pickering",1.75992726832814,0.39306304994881
"Port Colborne",0.184610284704835,0.160184767487037
"Port Hope",-0.0742929449006397,1.23460304491121
"Powassan & District Union Public Library",-0.747200075437497,-0.624207374735008
"Prescott",-0.827405189500074,0.306318548003806
"Prince Edward County",1.46602160879595,0.549242089518926
"Prince Twp Public Library",-1.90462361797574,0.0538206921274727
"Quinte West",0.988932023384726,-0.57058793981002
"Rainy River",-1.80250527712773,0.195501556922443
"Ramara Twp",-0.319565208662015,-0.402836203187817
"Red Rock Twp",-1.64028781617092,0.908546295129769
"Renfrew",-0.528516795583977,0.904087980340662
"Richmond Hill",2.77772488953193,-0.147138135428697
"Rideau Lakes Public Library",0.742350458312404,0.345922813674619
"Russell",0.494557799081045,0.931969602112404
"Sables-Spanish Rivers Twp",-0.30105563251113,0.93450651956858
"Sagamok Anishnawbek FN",-1.51368248768854,-2.00568029012845
"Saugeen FN",-1.48856390374082,-0.495058856301926
"Sault Ste. Marie",1.36665488851221,-0.0489292163770103
"Schreiber Twp",-1.4337439763992,1.15836270456939
"Scugog Memorial",0.0925313831130354,-0.259469620393095
"Selwyn",0.815012803792878,0.325099282929289
"Severn Township Library",-1.48621820240651,-3.26215007135109
"Shelburne",-0.359397382350261,-0.857261864602178
"Sioux Lookout",-1.1342019857282,-0.768109155685932
"Six Nations FN",-1.03781485171665,-2.7928033422493
"Smiths Falls",-0.364817920649601,-1.21579336112454
"South Algonquin Twp",-1.02759137419049,0.184736395354023
"South River-Machar Union",-1.57084737516016,0.541879664306416
"Southgate Twp.",-0.548492934097375,0.104809088856885
"Spanish Twp",-1.96684866184509,-0.567818366165843
"Springwater Twp",0.873863723347901,0.0241116958015612
"St. Charles",-1.57504225196428,0.349398057068587
"St. Joseph Twp",-1.80641339555551,1.75836181984307
"St. Marys Public Library",-0.506520319463619,-0.662653430176727
"St. Thomas",0.931148794065214,-0.399984815433361
"Stirling-Rawdon",-0.718004666627296,-0.333808864354382
"Stormont, Dundas & Glengarry County",3.18875382680778,-0.50749056479037
"Stratford",0.346090137205567,-0.636826283645393
"Sundridge-Strong Union",-1.58933920450075,-0.43237513334213
"Tay Twp",0.454380108055727,-0.547311398801309
"Temagami",-1.71559312200764,0.366029971262041
"Temagami FN",-2.52017940869801,-0.770969361399604
"Temiskaming Shores",-0.359119713201613,-0.911781873747071
"Terrace Bay Twp",-0.928549967940075,1.16206423577346
"The Blue Mountains",0.346167501122647,1.33976449191452
"Thessalon FN",-2.59974932410156,2.45850876604129
"Thorold",-0.0368715854724973,-0.871847493711306
"Thunder Bay",2.20383320742825,-0.218151888412379
"Timmins",1.17674149402934,0.251333892218092
"Toronto",7.7550857807347,0.243946373221036
