"Nom_bibliotheque","Groupe","Population_desservie","Nb_succursales","Heures_ouverture","Superficie","Ratio_abonnes_population","Indice_ressources_technologiques","Profil"
"Middlesex County Library",1,73887,15,437.5,67189,0.227225357640722,-0.205464364928868,"Grands réseaux de bibliothèques"
"Midland",2,49459,1,55,22700,0.136476677652197,-0.213719924689569,"Bibliothèques locales intermédiaires"
"Mississauga",1,779100,18,720,342043,0.175226543447568,-0.239972605058892,"Grands réseaux de bibliothèques"
"Mississaugas of Scugog Island FN",3,48,1,35,518,2.20833333333333,1.22297049553359,"Petites bibliothèques à forte offre technologique"
"Mississippi Mills",2,13163,2,72,12530,0.322874724606853,-0.128472816879268,"Bibliothèques locales intermédiaires"
"Mohawks of the Bay of Quinte FN",2,2167,1,20,7497,0.0562990309183203,-0.156558171978061,"Bibliothèques locales intermédiaires"
"Moonbeam Twp",2,1231,1,29.5,2400,0.251015434606011,0.0431111535076045,"Bibliothèques locales intermédiaires"
"Muskoka Lakes Twp",2,6588,2,47,8512,0.176533090467517,-0.234003517771435,"Bibliothèques locales intermédiaires"
"New Tecumseth",1,58126,3,145,15318,0.293672366927021,-0.217213259052544,"Grands réseaux de bibliothèques"
"Newmarket",2,89802,1,53.5,35000,0.262677891360994,-0.180154312184129,"Bibliothèques locales intermédiaires"
"Niagara Falls",1,88071,4,251,60717,0.469042022913331,-0.230511058939958,"Grands réseaux de bibliothèques"
"Niagara-on-the-Lake",2,17511,1,302,10000,0.480269544857518,-0.138613014027554,"Bibliothèques locales intermédiaires"
"Nipigon Twp",2,1642,1,27,2048,0.303288672350792,-0.197646423545019,"Bibliothèques locales intermédiaires"
"Norfolk County",1,64044,5,194,50991,0.362391480856911,-0.117808717224947,"Grands réseaux de bibliothèques"
"North Bay",2,51553,1,58,35000,0.957150893255485,-0.259832570664274,"Bibliothèques locales intermédiaires"
"North Grenville Twp",2,16451,2,59,10700,0.386663424715823,-0.241031161011358,"Bibliothèques locales intermédiaires"
"North Kawartha Twp",3,2145,2,47,5900,1.85780885780886,-0.239030086650777,"Petites bibliothèques à forte offre technologique"
"North Perth",2,13130,3,78,11130,0.168088347296268,-0.165378488578788,"Bibliothèques locales intermédiaires"
"Northeastern Manitoulin and the Islands",2,2029,1,37,3749,0.296205027106949,0.233814064956619,"Bibliothèques locales intermédiaires"
"Oakville",1,211000,7,353,100935,0.232744075829384,-0.217030972994843,"Grands réseaux de bibliothèques"
"Oliver Paipoonge",2,9933,2,48,3266,0.0657404610892983,-0.17333032739189,"Bibliothèques locales intermédiaires"
"Orangeville",2,29986,2,74,17635,0.162675915427199,-0.259820577809457,"Bibliothèques locales intermédiaires"
"Orillia",2,52163,1,59,47000,0.340624580641451,-0.227721755376828,"Bibliothèques locales intermédiaires"
"Oshawa",1,172000,4,184,95085,0.24168023255814,-0.213234938485061,"Grands réseaux de bibliothèques"
"Otonabee-South Monaghan Twp",2,6670,3,46.5,5272,0.0835082458770615,-0.204350827996119,"Bibliothèques locales intermédiaires"
"Ottawa",1,934243,33,1684.75,424164,0.290501507637735,-0.237135596762888,"Grands réseaux de bibliothèques"
"Owen Sound & North Grey Union",2,34585,1,51,22582,0.216105247939858,-0.161295617775586,"Bibliothèques locales intermédiaires"
"Oxford County",1,68077,14,354,45884,0.243121759184453,-0.236897410448926,"Grands réseaux de bibliothèques"
"Pelham",2,17110,2,165,13300,0.324956165984804,-0.152359812702771,"Bibliothèques locales intermédiaires"
"Pembroke",2,19311,1,35,10000,0.147791414219875,-0.183757003688106,"Bibliothèques locales intermédiaires"
"Penetanguishene",2,20749,2,64,12340,0.207094317798448,-0.223166622359136,"Bibliothèques locales intermédiaires"
"Perry Twp",2,2454,1,34,2500,0.0766096169519152,0.0900462729931736,"Bibliothèques locales intermédiaires"
"Perth and District Union",2,22330,1,47,9500,0.241468875951635,-0.161355470291153,"Bibliothèques locales intermédiaires"
"Perth East",2,12261,1,41,5655,0.0679389935568061,-0.240447079840165,"Bibliothèques locales intermédiaires"
"Petawawa",2,17187,1,55,1200,0.119741665212079,-0.255680430327524,"Bibliothèques locales intermédiaires"
"Peterborough",1,82094,2,240,33412,0.246059395327308,-0.258334789947609,"Grands réseaux de bibliothèques"
"Phelps",2,1500,1,5,1000,0.0893333333333333,-0.216403392007582,"Bibliothèques locales intermédiaires"
"Pickering",1,96049,3,102,46140,0.352476340201356,-0.207403439406021,"Grands réseaux de bibliothèques"
"Port Colborne",2,18306,1,53,23116,0.299683163989949,-0.243369117787665,"Bibliothèques locales intermédiaires"
"Port Hope",2,16753,1,38,19300,0.703038261803856,-0.251093356633427,"Bibliothèques locales intermédiaires"
"Powassan & District Union Public Library",2,6248,1,24,10000,0.160211267605634,-0.139782958437076,"Bibliothèques locales intermédiaires"
"Prescott",2,4222,1,36,6000,0.318095689246802,-0.178721999352285,"Bibliothèques locales intermédiaires"
"Prince Edward County",1,24735,6,134,11475,0.348534465332525,-0.0752217408887745,"Grands réseaux de bibliothèques"
"Prince Twp Public Library",2,1010,1,20,1652,0.25049504950495,0.00410035699201444,"Bibliothèques locales intermédiaires"
"Quinte West",2,43577,2,81,21883,0.166555751887464,-0.228028070542864,"Bibliothèques locales intermédiaires"
"Rainy River",2,1687,1,18,1770,0.29045643153527,-0.061052010585556,"Bibliothèques locales intermédiaires"
"Ramara Twp",2,9488,2,58,2209,0.180965430016863,-0.207216617767195,"Bibliothèques locales intermédiaires"
"Red Rock Twp",2,895,1,26,2850,0.473743016759777,0.0577886552604775,"Bibliothèques locales intermédiaires"
"Renfrew",2,6466,1,50.5,6562,0.510980513454995,-0.174747759902249,"Bibliothèques locales intermédiaires"
"Richmond Hill",1,215316,4,223.5,102000,0.226104887699939,-0.228789231145601,"Grands réseaux de bibliothèques"
"Rideau Lakes Public Library",2,9050,5,77,8629,0.292375690607735,-0.088803177115654,"Bibliothèques locales intermédiaires"
"Russell",2,16520,2,96,8514,0.50726392251816,-0.115755815414695,"Bibliothèques locales intermédiaires"
"Sables-Spanish Rivers Twp",2,3215,2,57,6000,0.473094867807154,-0.0734073627114131,"Bibliothèques locales intermédiaires"
"Sagamok Anishnawbek FN",2,1610,1,35,1500,0.0503105590062112,-0.152382823427918,"Bibliothèques locales intermédiaires"
"Saugeen FN",2,801,1,35,3000,0.154806491885144,0.276613627357675,"Bibliothèques locales intermédiaires"
"Sault Ste. Marie",1,82220,2,79,44600,0.258343468742398,-0.247999271354824,"Grands réseaux de bibliothèques"
"Schreiber Twp",3,1159,1,36,2700,0.575496117342537,0.858474044479287,"Petites bibliothèques à forte offre technologique"
"Scugog Memorial",2,17382,1,57,16000,0.215567828788402,-0.22173017718036,"Bibliothèques locales intermédiaires"
"Selwyn",2,17060,3,102,10020,0.305685814771395,-0.240975653155379,"Bibliothèques locales intermédiaires"
"Severn Township Library",2,32659,1,27,208,0.0238525368198659,-0.22260113131347,"Bibliothèques locales intermédiaires"
"Shelburne",2,27418,1,38,5000,0.144613027937851,-0.229811346703274,"Bibliothèques locales intermédiaires"
"Sioux Lookout",2,6414,1,21.5,3500,0.146398503274088,-0.0362795603215559,"Bibliothèques locales intermédiaires"
"Six Nations FN",2,12795,1,35,1200,0.0311840562719812,-0.235867385324704,"Bibliothèques locales intermédiaires"
"Smiths Falls",2,11671,1,41.5,8397,0.102304858195527,-0.256341634362486,"Bibliothèques locales intermédiaires"
"South Algonquin Twp",2,1013,2,24,5813,0.256663376110563,-0.0509628825938399,"Bibliothèques locales intermédiaires"
"South River-Machar Union",2,2042,1,26,1800,0.377571008814887,-0.167458503713705,"Bibliothèques locales intermédiaires"
"Southgate Twp.",2,10362,1,37,6572,0.287106736151322,-0.227523146348402,"Bibliothèques locales intermédiaires"
"Spanish Twp",2,712,1,29,1004,0.148876404494382,1.10449472851016,"Bibliothèques locales intermédiaires"
"Springwater Twp",2,30846,3,81,10480,0.25403617973157,-0.261672120855485,"Bibliothèques locales intermédiaires"
"St. Charles",2,1120,1,31,2184,0.308928571428571,-0.0876207824596529,"Bibliothèques locales intermédiaires"
"St. Joseph Twp",3,1538,1,18,2000,0.975292587776333,0.00663760342116908,"Petites bibliothèques à forte offre technologique"
"St. Marys Public Library",2,11075,1,50.5,4300,0.156749435665914,-0.143502571283112,"Bibliothèques locales intermédiaires"
"St. Thomas",2,41813,1,139,27000,0.193360916461388,-0.200632811965978,"Bibliothèques locales intermédiaires"
"Stirling-Rawdon",2,4882,1,37,7000,0.194182712003277,-0.245711237524332,"Bibliothèques locales intermédiaires"
"Stormont, Dundas & Glengarry County",1,68331,15,544,25143,0.139921850990034,-0.174442941231811,"Grands réseaux de bibliothèques"
"Stratford",2,35275,1,62,17202,0.167115520907158,-0.223123905241572,"Bibliothèques locales intermédiaires"
"Sundridge-Strong Union",2,2704,1,32,956,0.179363905325444,-0.150345073066803,"Bibliothèques locales intermédiaires"
"Tay Twp",2,8567,3,81.5,7782,0.150461071553636,-0.241075032497982,"Bibliothèques locales intermédiaires"
"Temagami",2,840,1,27,2200,0.30952380952381,0.767757518448446,"Bibliothèques locales intermédiaires"
"Temagami FN",3,247,1,21,690,0.121457489878543,3.17187900075057,"Petites bibliothèques à forte offre technologique"
"Temiskaming Shores",2,11890,1,48,6836,0.129184188393608,-0.0730592244282627,"Bibliothèques locales intermédiaires"
"Terrace Bay Twp",2,1611,1,45,7000,0.5747982619491,-0.0965562087250486,"Bibliothèques locales intermédiaires"
"The Blue Mountains",2,6805,2,74,16500,0.662013225569434,-0.168643778520511,"Bibliothèques locales intermédiaires"
"Thessalon FN",3,113,1,25,878,1.41592920353982,4.98382440133756,"Petites bibliothèques à forte offre technologique"
"Thorold",2,18801,1,54,10700,0.135524706132653,-0.24766401586041,"Bibliothèques locales intermédiaires"
"Thunder Bay",1,109709,4,152,53500,0.21106746028129,-0.22189655628923,"Grands réseaux de bibliothèques"
"Timmins",1,41788,2,105,28100,0.30989757825213,-0.21616611836827,"Grands réseaux de bibliothèques"
"Toronto",1,2956024,100,5697.75,1883890,0.231100627058508,-0.239486391736118,"Grands réseaux de bibliothèques"
"Trent Hills",2,12900,3,70.5,12103,0.566124031007752,-0.24462098503645,"Bibliothèques locales intermédiaires"
"Trent Lakes",2,5397,2,52,1915,0.5810635538262,-0.146611672845725,"Bibliothèques locales intermédiaires"
"Tudor & Cashel Twp",2,528,1,7,642,0.473484848484849,-0.162602602446971,"Bibliothèques locales intermédiaires"
"Tweed",2,6044,1,35,5000,0.165122435473197,0.0252072397952003,"Bibliothèques locales intermédiaires"
"Tyendinaga Twp",2,4297,1,28,1500,0.172678612985804,-0.217919223074965,"Bibliothèques locales intermédiaires"
"Uxbridge Twp",2,21176,2,60.5,9875,0.218077068379297,-0.201904524349356,"Bibliothèques locales intermédiaires"
"Vaughan",1,329000,11,778,177403,0.251914893617021,-0.225714502864172,"Grands réseaux de bibliothèques"
"Wainfleet Twp",2,6372,1,43,4280,0.240740740740741,-0.173166328175658,"Bibliothèques locales intermédiaires"
"Wasaga Beach",2,20675,1,60,4500,0.26863361547763,-0.189843413392727,"Bibliothèques locales intermédiaires"
"Waterloo City",1,146010,3,177.5,60120,0.375104444901034,-0.227047738785897,"Grands réseaux de bibliothèques"
"Waterloo Region",1,75190,10,219,26037,0.224258545019284,-0.249123545645263,"Grands réseaux de bibliothèques"
"Wawa",2,3180,1,20,1780,0.123584905660377,-0.207482504874036,"Bibliothèques locales intermédiaires"
"Welland",1,52293,3,141,40413,0.228405331497524,-0.194823987676311,"Grands réseaux de bibliothèques"
